date,category,menu,quantity,total price,payment,mode,unit_price
2024-06-19,Sandwich,Egg Sandwich With Cheese + Coleslaw,3,111,Cash,Physical,37.0
2024-06-19,Shake,Avocado Shake (S),3,150,Gcash,Physical,50.0
2024-06-19,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-19,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-19,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-19,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-06-19,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-06-19,Shake,Smoothie (M),3,240,Cash,Physical,80.0
2024-06-19,Sandwich,Cheeseburgerr,2,54,Cash,Physical,27.0
2024-06-19,Others,Strawberry And Cream Cheese (M),3,255,Cash,Physical,85.0
2024-06-19,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-19,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical,40.0
2024-06-19,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-06-19,Sandwich,Ham Sandwich With Egg And Cheese,5,225,Cash,Physical,45.0
2024-06-19,Shake,Mango Graham Shake (S),1,65,Gcash,Physical,65.0
2024-06-19,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-19,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-20,Others,Strawberry And Cream Cheese (M),1,85,Cash,Delivered,85.0
2024-06-20,Sandwich,Ham Sandwich With Cheese + Coleslaw,3,111,Cash,Physical,37.0
2024-06-20,Shake,Avocado Shake (M),3,210,Cash,Physical,70.0
2024-06-20,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-20,Others,All In,1,53,Cash,Physical,53.0
2024-06-20,Sandwich,Ham Sandwich,1,27,Cash,Physical,27.0
2024-06-20,Sandwich,Ham Sandwich,1,27,Cash,Physical,27.0
2024-06-20,Sandwich,Burgerr,1,20,Cash,Physical,20.0
2024-06-20,Sandwich,Egg Sandwich With Cheese + Coleslaw,1,37,Cash,Physical,37.0
2024-06-20,Shake,Avocado Shake (S),4,200,Cash,Physical,50.0
2024-06-20,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-20,Sandwich,Egg Sandwich,4,100,Cash,Physical,25.0
2024-06-20,Shake,Smoothie (S),1,60,Gcash,Physical,60.0
2024-06-20,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-06-20,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical,105.0
2024-06-20,Sandwich,Ham Sandwich,1,27,Cash,Physical,27.0
2024-06-20,Sandwich,Egg Sandwich + Coleslaw,1,30,Gcash,Physical,30.0
2024-06-20,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-20,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-20,Sandwich,Ham Sandwich With Cheese,3,96,Cash,Physical,32.0
2024-06-20,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-06-20,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-20,Shake,Mango Graham Shake (M),5,425,Cash,Physical,85.0
2024-06-20,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-20,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-20,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-06-20,Sandwich,Cheeseburgerr,1,27,Cash,Delivered,27.0
2024-06-20,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-06-20,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-06-20,Shake,Avocado Shake (L),3,270,Cash,Physical,90.0
2024-06-20,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical,105.0
2024-06-20,Sandwich,Egg Sandwich With Cheese,1,32,Gcash,Physical,32.0
2024-06-20,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-06-20,Sandwich,Egg Sandwich With Cheese + Coleslaw,1,37,Cash,Physical,37.0
2024-06-20,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-06-20,Shake,Mango Shake (L),2,180,Cash,Physical,90.0
2024-06-20,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-20,Sandwich,Ham Sandwich With Egg + Coleslaw,1,45,Gcash,Physical,45.0
2024-06-20,Sandwich,Burgerr With Ham,1,35,Cash,Physical,35.0
2024-06-20,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-06-20,Shake,Avocado Shake (M),1,70,Gcash,Physical,70.0
2024-06-20,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-06-20,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-20,Others,Popcorn,1,10,Cash,Physical,10.0
2024-06-20,Shake,Special Mango Shake With Boba (S),2,140,Gcash,Physical,70.0
2024-06-20,Shake,Mango Shake (L),1,90,Gcash,Physical,90.0
2024-06-21,Others,Cheese Stick,1,2,Gcash,Physical,2.0
2024-06-21,Sandwich,Egg Sandwich + Coleslaw,1,30,Cash,Physical,30.0
2024-06-21,Sandwich,Ham Sandwich With Cheese + Coleslaw,2,74,Cash,Physical,37.0
2024-06-21,Shake,Smoothie (S),3,180,Cash,Physical,60.0
2024-06-21,Sandwich,Egg Sandwich + Coleslaw,1,30,Cash,Physical,30.0
2024-06-21,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-06-21,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-21,Shake,Mango Graham Shake (S),1,65,Gcash,Physical,65.0
2024-06-21,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-21,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-06-21,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-21,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-06-21,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Cash,Physical,37.0
2024-06-21,Sandwich,Egg Sandwich,3,75,Cash,Physical,25.0
2024-06-21,Sandwich,Egg Sandwich + Coleslaw,3,90,Cash,Physical,30.0
2024-06-21,Others,French Fries,1,25,Cash,Physical,25.0
2024-06-21,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-06-21,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-21,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-06-21,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-06-21,Shake,Special Mango Shake With Boba (M),3,270,Cash,Physical,90.0
2024-06-21,Others,French Fries,1,25,Cash,Physical,25.0
2024-06-21,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-21,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-06-21,Shake,Avocado Shake (S),1,50,Gcash,Physical,50.0
2024-06-21,Sandwich,Ham Sandwich With Egg + Coleslaw,2,90,Cash,Physical,45.0
2024-06-21,Shake,Mango Shake (S),1,50,Cash,Delivered,50.0
2024-06-21,Shake,Avocado Shake (M),1,70,Cash,Physical,70.0
2024-06-21,Others,Siomai,1,10,Cash,Delivered,10.0
2024-06-21,Sandwich,Burgerr,1,20,Cash,Physical,20.0
2024-06-21,Shake,Smoothie (L),4,400,Cash,Physical,100.0
2024-06-21,Shake,Smoothie (L),3,300,Cash,Physical,100.0
2024-06-21,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-21,Shake,Mango Graham Shake (S),5,325,Cash,Physical,65.0
2024-06-22,Shake,Avocado Shake (S),2,100,Gcash,Physical,50.0
2024-06-22,Sandwich,Egg Sandwich,2,50,Cash,Physical,25.0
2024-06-22,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-22,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-22,Shake,Smoothie (S),1,60,Gcash,Physical,60.0
2024-06-22,Sandwich,Ham Sandwich + Coleslaw,4,128,Cash,Physical,32.0
2024-06-22,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-06-22,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-22,Sandwich,Cheeseburgerr + Coleslaw,5,160,Cash,Physical,32.0
2024-06-22,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-22,Others,French Fries,1,25,Cash,Physical,25.0
2024-06-22,Shake,Avocado Shake (S),1,50,Gcash,Physical,50.0
2024-06-22,Sandwich,Burgerr With Ham,2,70,Cash,Physical,35.0
2024-06-22,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-06-22,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-22,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-22,Sandwich,Ham Sandwich With Egg,4,160,Cash,Physical,40.0
2024-06-22,Sandwich,Egg Sandwich,1,25,Cash,Delivered,25.0
2024-06-22,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-22,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-22,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-22,Shake,Avocado Shake (L),4,360,Cash,Physical,90.0
2024-06-22,Others,French Fries,1,25,Cash,Physical,25.0
2024-06-22,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-22,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-06-22,Others,Cheese Stick,1,2,Cash,Physical,2.0
2024-06-22,Sandwich,Ham Sandwich With Egg And Cheese + Coleslaw,1,50,Cash,Physical,50.0
2024-06-22,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-06-22,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-22,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-22,Sandwich,Ham Sandwich With Egg And Cheese,4,180,Cash,Physical,45.0
2024-06-22,Others,Siomai,1,10,Cash,Physical,10.0
2024-06-22,Sandwich,Cheeseburgerr With Egg,1,42,Cash,Physical,42.0
2024-06-22,Sandwich,Egg Sandwich,1,25,Gcash,Physical,25.0
2024-06-22,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-22,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-06-22,Shake,Mango Graham Shake (M),2,170,Cash,Physical,85.0
2024-06-22,Sandwich,Ham Sandwich With Egg And Cheese,5,225,Cash,Physical,45.0
2024-06-22,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-22,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-22,Shake,Mango Shake (M),3,210,Cash,Physical,70.0
2024-06-22,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-22,Shake,Special Mango Shake With Boba (M),3,270,Cash,Physical,90.0
2024-06-22,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-22,Others,Strawberry And Cream Cheese (M),1,85,Cash,Physical,85.0
2024-06-22,Shake,Mango Shake (S),2,100,Cash,Physical,50.0
2024-06-23,Sandwich,Ham Sandwich + Coleslaw,1,32,Cash,Physical,32.0
2024-06-23,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-06-23,Shake,Avocado Shake (M),3,210,Cash,Physical,70.0
2024-06-23,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-23,Shake,Mango Shake (L),2,180,Cash,Physical,90.0
2024-06-23,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-06-23,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-23,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-23,Sandwich,Ham Sandwich + Coleslaw,1,32,Cash,Physical,32.0
2024-06-23,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-06-23,Sandwich,Cheeseburgerr With Ham,2,80,Cash,Physical,40.0
2024-06-23,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical,40.0
2024-06-23,Shake,Special Mango Shake With Boba (M),1,90,Gcash,Delivered,90.0
2024-06-23,Shake,Special Mango Shake With Boba (L),5,550,Cash,Physical,110.0
2024-06-23,Sandwich,Ham Sandwich With Egg And Cheese,3,135,Gcash,Physical,45.0
2024-06-23,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-23,Others,Strawberry And Cream Cheese (M),1,85,Cash,Physical,85.0
2024-06-23,Sandwich,Cheeseburgerr,1,27,Gcash,Physical,27.0
2024-06-23,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-23,Shake,Special Mango Shake With Boba (L),2,220,Gcash,Physical,110.0
2024-06-23,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-23,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Gcash,Physical,37.0
2024-06-23,Others,Siomai,1,10,Gcash,Physical,10.0
2024-06-23,Shake,Mango Shake (L),1,90,Gcash,Physical,90.0
2024-06-23,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-23,Others,French Fries,1,25,Cash,Physical,25.0
2024-06-23,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-06-23,Others,Popcorn,2,20,Cash,Physical,10.0
2024-06-23,Shake,Mango Graham Shake (L),1,105,Cash,Delivered,105.0
2024-06-23,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical,105.0
2024-06-23,Sandwich,Egg Sandwich With Cheese,4,128,Cash,Physical,32.0
2024-06-23,Shake,Mango Graham Shake (M),2,170,Cash,Physical,85.0
2024-06-23,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-23,Shake,Mango Shake (S),2,100,Cash,Physical,50.0
2024-06-23,Sandwich,Ham Sandwich With Egg,4,160,Cash,Physical,40.0
2024-06-23,Shake,Mango Graham Shake (S),1,65,Gcash,Physical,65.0
2024-06-23,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Physical,70.0
2024-06-23,Others,Cheese Stick,1,2,Gcash,Physical,2.0
2024-06-23,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-06-23,Shake,Avocado Shake (M),1,70,Cash,Physical,70.0
2024-06-23,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-23,Shake,Smoothie (L),2,200,Cash,Physical,100.0
2024-06-23,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-06-23,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-24,Others,French Fries,2,50,Gcash,Physical,25.0
2024-06-24,Sandwich,Cheeseburgerr With Egg + Coleslaw,2,94,Cash,Physical,47.0
2024-06-24,Shake,Smoothie (L),1,100,Gcash,Physical,100.0
2024-06-24,Shake,Mango Shake (S),5,250,Cash,Physical,50.0
2024-06-24,Shake,Avocado Shake (L),2,180,Cash,Physical,90.0
2024-06-24,Others,Strawberry And Cream Cheese (L),4,420,Gcash,Physical,105.0
2024-06-24,Sandwich,Cheeseburgerr With Egg,1,42,Gcash,Physical,42.0
2024-06-24,Sandwich,Cheeseburgerr With Egg + Coleslaw,1,47,Cash,Physical,47.0
2024-06-24,Sandwich,Egg Sandwich With Cheese,3,96,Cash,Physical,32.0
2024-06-24,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-24,Sandwich,Cheeseburgerr,1,27,Gcash,Physical,27.0
2024-06-24,Others,Strawberry And Cream Cheese (M),1,85,Cash,Physical,85.0
2024-06-24,Shake,Mango Shake (M),1,70,Gcash,Physical,70.0
2024-06-24,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-24,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-06-24,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-06-24,Sandwich,Ham Sandwich With Egg + Coleslaw,1,45,Cash,Physical,45.0
2024-06-24,Shake,Smoothie (S),1,60,Gcash,Physical,60.0
2024-06-24,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-24,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-24,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-24,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-06-24,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-24,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical,105.0
2024-06-24,Shake,Avocado Shake (M),3,210,Cash,Physical,70.0
2024-06-24,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-24,Sandwich,Burgerr With Ham,1,35,Gcash,Physical,35.0
2024-06-24,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-24,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-24,Others,Siomai,4,40,Cash,Physical,10.0
2024-06-24,Others,Strawberry And Cream Cheese (S),1,65,Cash,Physical,65.0
2024-06-24,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-06-24,Others,Popcorn,1,10,Cash,Physical,10.0
2024-06-24,Shake,Mango Graham Shake (S),5,325,Cash,Physical,65.0
2024-06-24,Shake,Smoothie (S),2,120,Cash,Physical,60.0
2024-06-24,Sandwich,Egg Sandwich,5,125,Cash,Physical,25.0
2024-06-25,Shake,Smoothie (S),4,240,Cash,Physical,60.0
2024-06-25,Shake,Smoothie (L),1,100,Gcash,Physical,100.0
2024-06-25,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical,45.0
2024-06-25,Shake,Special Mango Shake With Boba (M),5,450,Gcash,Physical,90.0
2024-06-25,Sandwich,Egg Sandwich + Coleslaw,5,150,Gcash,Delivered,30.0
2024-06-25,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical,105.0
2024-06-25,Sandwich,Ham Sandwich,1,27,Cash,Physical,27.0
2024-06-25,Shake,Mango Graham Shake (S),1,65,Gcash,Physical,65.0
2024-06-25,Shake,Special Mango Shake With Boba (M),3,270,Gcash,Physical,90.0
2024-06-25,Others,French Fries,1,25,Gcash,Physical,25.0
2024-06-25,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-25,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-25,Shake,Mango Graham Shake (S),4,260,Cash,Physical,65.0
2024-06-25,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-25,Sandwich,Cheeseburgerr With Ham,1,40,Gcash,Delivered,40.0
2024-06-25,Sandwich,Ham Sandwich With Egg And Cheese + Coleslaw,4,200,Cash,Physical,50.0
2024-06-25,Shake,Mango Graham Shake (L),5,525,Cash,Physical,105.0
2024-06-25,Shake,Mango Shake (S),3,150,Cash,Physical,50.0
2024-06-25,Shake,Special Mango Shake With Boba (M),4,360,Cash,Physical,90.0
2024-06-25,Sandwich,Egg Sandwich + Coleslaw,1,30,Gcash,Physical,30.0
2024-06-25,Sandwich,Cheeseburgerr With Ham,3,120,Cash,Physical,40.0
2024-06-25,Shake,Avocado Shake (M),2,140,Cash,Physical,70.0
2024-06-26,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-26,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-26,Sandwich,Ham Sandwich,1,27,Cash,Physical,27.0
2024-06-26,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-06-26,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-26,Others,Strawberry And Cream Cheese (L),4,420,Cash,Physical,105.0
2024-06-26,Shake,Avocado Shake (M),5,350,Cash,Delivered,70.0
2024-06-26,Sandwich,Burgerr With Ham,1,35,Cash,Physical,35.0
2024-06-26,Shake,Special Mango Shake With Boba (L),4,440,Gcash,Delivered,110.0
2024-06-26,Sandwich,Burgerr With Ham,1,35,Cash,Physical,35.0
2024-06-26,Shake,Mango Graham Shake (L),1,105,Gcash,Physical,105.0
2024-06-26,Others,Strawberry And Cream Cheese (S),2,130,Cash,Physical,65.0
2024-06-26,Sandwich,Egg Sandwich With Cheese + Coleslaw,1,37,Gcash,Physical,37.0
2024-06-26,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-26,Shake,Avocado Shake (S),1,50,Gcash,Physical,50.0
2024-06-26,Shake,Special Mango Shake With Boba (L),2,220,Cash,Delivered,110.0
2024-06-26,Sandwich,Burgerr With Ham + Coleslaw,1,40,Cash,Physical,40.0
2024-06-26,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-26,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-06-26,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-06-26,Sandwich,Cheeseburgerr,1,27,Gcash,Physical,27.0
2024-06-26,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-06-26,Sandwich,Cheeseburgerr With Ham + Coleslaw,1,45,Cash,Physical,45.0
2024-06-26,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-26,Sandwich,Ham Sandwich With Egg And Cheese + Coleslaw,1,50,Cash,Physical,50.0
2024-06-26,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-26,Others,French Fries,1,25,Gcash,Physical,25.0
2024-06-26,Sandwich,Burgerr With Ham,5,175,Cash,Delivered,35.0
2024-06-26,Sandwich,Burgerr,1,20,Cash,Delivered,20.0
2024-06-26,Shake,Avocado Shake (S),5,250,Cash,Physical,50.0
2024-06-26,Others,Strawberry And Cream Cheese (L),4,420,Cash,Physical,105.0
2024-06-26,Shake,Mango Graham Shake (L),1,105,Gcash,Physical,105.0
2024-06-27,Shake,Special Mango Shake With Boba (L),4,440,Cash,Physical,110.0
2024-06-27,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-27,Shake,Mango Shake (S),5,250,Cash,Physical,50.0
2024-06-27,Shake,Avocado Shake (M),4,280,Cash,Physical,70.0
2024-06-27,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-06-27,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-06-27,Shake,Smoothie (L),5,500,Cash,Physical,100.0
2024-06-27,Shake,Mango Shake (L),5,450,Cash,Physical,90.0
2024-06-27,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical,45.0
2024-06-27,Others,Popcorn,5,50,Cash,Physical,10.0
2024-06-27,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Gcash,Physical,45.0
2024-06-27,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical,45.0
2024-06-27,Shake,Mango Graham Shake (S),1,65,Gcash,Physical,65.0
2024-06-27,Shake,Smoothie (M),1,80,Gcash,Physical,80.0
2024-06-27,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-06-27,Others,Cheese Stick,3,6,Cash,Physical,2.0
2024-06-27,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-06-27,Others,Strawberry And Cream Cheese (S),1,65,Cash,Physical,65.0
2024-06-27,Others,Siomai,1,10,Cash,Physical,10.0
2024-06-27,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-27,Sandwich,Egg Sandwich + Coleslaw,1,30,Cash,Physical,30.0
2024-06-27,Shake,Avocado Shake (S),2,100,Cash,Physical,50.0
2024-06-27,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-27,Shake,Mango Shake (L),3,270,Cash,Physical,90.0
2024-06-27,Shake,Avocado Shake (S),1,50,Gcash,Physical,50.0
2024-06-28,Sandwich,Egg Sandwich + Coleslaw,4,120,Cash,Physical,30.0
2024-06-28,Others,Strawberry And Cream Cheese (L),1,105,Gcash,Physical,105.0
2024-06-28,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-28,Others,Strawberry And Cream Cheese (L),3,315,Cash,Physical,105.0
2024-06-28,Shake,Smoothie (M),3,240,Cash,Physical,80.0
2024-06-28,Sandwich,Burgerr With Ham,5,175,Cash,Physical,35.0
2024-06-28,Sandwich,Burgerr With Ham,5,175,Cash,Physical,35.0
2024-06-28,Shake,Avocado Shake (L),1,90,Gcash,Physical,90.0
2024-06-28,Sandwich,Ham Sandwich With Egg And Cheese,3,135,Gcash,Physical,45.0
2024-06-28,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-28,Shake,Mango Graham Shake (L),2,210,Gcash,Physical,105.0
2024-06-28,Sandwich,Cheeseburgerr With Egg,4,168,Cash,Physical,42.0
2024-06-28,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-06-28,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Gcash,Physical,45.0
2024-06-28,Shake,Special Mango Shake With Boba (M),5,450,Cash,Physical,90.0
2024-06-28,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-06-28,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-06-28,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Physical,70.0
2024-06-28,Sandwich,Burgerr With Ham + Coleslaw,1,40,Cash,Physical,40.0
2024-06-28,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical,40.0
2024-06-28,Others,Strawberry And Cream Cheese (S),1,65,Gcash,Physical,65.0
2024-06-28,Sandwich,Burgerr With Ham + Coleslaw,1,40,Cash,Physical,40.0
2024-06-28,Shake,Mango Graham Shake (L),4,420,Cash,Physical,105.0
2024-06-28,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-06-28,Sandwich,Burgerr,1,20,Gcash,Physical,20.0
2024-06-28,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-06-28,Sandwich,Ham Sandwich With Egg + Coleslaw,4,180,Cash,Physical,45.0
2024-06-28,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-06-28,Sandwich,Burgerr With Ham + Coleslaw,1,40,Gcash,Physical,40.0
2024-06-28,Sandwich,Cheeseburgerr,4,108,Cash,Physical,27.0
2024-06-28,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-28,Sandwich,Cheeseburgerr With Egg,1,42,Cash,Physical,42.0
2024-06-29,Shake,Mango Shake (M),4,280,Cash,Physical,70.0
2024-06-29,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Cash,Physical,37.0
2024-06-29,Shake,Special Mango Shake With Boba (M),1,90,Gcash,Physical,90.0
2024-06-29,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-06-29,Shake,Special Mango Shake With Boba (S),2,140,Cash,Physical,70.0
2024-06-29,Shake,Special Mango Shake With Boba (S),2,140,Gcash,Physical,70.0
2024-06-29,Shake,Avocado Shake (S),2,100,Cash,Physical,50.0
2024-06-29,Shake,Smoothie (S),4,240,Cash,Physical,60.0
2024-06-29,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-06-29,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-29,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-29,Shake,Mango Graham Shake (L),4,420,Cash,Physical,105.0
2024-06-29,Sandwich,Ham Sandwich With Egg,1,40,Cash,Delivered,40.0
2024-06-29,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-29,Sandwich,Burgerr,5,100,Gcash,Physical,20.0
2024-06-29,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical,105.0
2024-06-29,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-29,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-06-29,Sandwich,Burgerr With Ham,3,105,Gcash,Physical,35.0
